iso3c,week_count,human_development_index,v2x_libdem,v2x_freexp_altinf,median_age,aged_70_older,life_expectancy,area_ifr,log_gdp_ppp,Stringency_revised,DV_Standardized,Stringency_Treat,countryN,partialnew_D,competenew_D,daily_tests_per_100k_LOG,pop.2020_LOG
AFG,3,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0,0,0,2,0,0,NA,17.4772331
AFG,4,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0,0,0,2,0,0,NA,17.4772331
AFG,5,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0,0,0,2,0,0,NA,17.4772331
AFG,6,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0,0,0,2,0,0,NA,17.4772331
AFG,7,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0,0,0,2,0,0,NA,17.4772331
AFG,8,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0,8.93E-05,0,2,1,0,NA,17.4772331
AFG,9,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.142857143,0.00017855,0,2,0,0,NA,17.4772331
AFG,10,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.163265306,0.000714199,0,2,0,0,NA,17.4772331
AFG,11,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.285714286,0.000357099,0,2,0,0,NA,17.4772331
AFG,12,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.503401361,0.00553504,0,2,0,0,NA,17.4772331
AFG,13,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.738095238,0.010355881,0,2,1,0,NA,17.4772331
AFG,14,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.880952381,0.005624315,0,2,0,0,NA,17.4772331
AFG,15,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.952380952,0.010891531,0,2,0,0,NA,17.4772331
AFG,16,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.952380952,0.013569776,0,2,0,0,NA,17.4772331
AFG,17,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.952380952,0.042494824,0,2,0,0,NA,17.4772331
AFG,18,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.952380952,0.05052956,0,2,0,0,NA,17.4772331
AFG,19,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.952380952,0.070437849,0,2,0,0,NA,17.4772331
AFG,20,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.952380952,0.110432978,0,2,0,0,NA,17.4772331
AFG,21,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.952380952,0.082936327,0,2,0,0,NA,17.4772331
AFG,22,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.952380952,0.044548145,0,2,0,0,NA,17.4772331
AFG,23,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.952380952,-0.042316274,0,2,0,0,NA,17.4772331
AFG,24,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.952380952,-0.020533213,0,2,0,0,NA,17.4772331
AFG,25,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.952380952,-0.191405258,0,2,0,0,NA,17.4772331
AFG,26,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.952380952,-0.010891531,0,2,0,0,NA,17.4772331
AFG,27,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.952380952,-0.032317492,0,2,0,0,NA,17.4772331
AFG,28,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.952380952,-0.068830902,0,2,0,0,NA,17.4772331
AFG,29,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.952380952,-0.015712372,0,2,0,0,NA,17.4772331
AFG,30,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.952380952,-0.006517063,0,2,0,0,NA,17.4772331
AFG,31,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.891156463,-0.029282148,0,2,0,0,NA,17.4772331
AFG,32,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.836734694,0.013391226,0,2,0,0,NA,17.4772331
AFG,33,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.56122449,-0.008391835,0,2,0,0,NA,17.4772331
AFG,34,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.268707483,-0.019015541,0,2,0,0,NA,17.4772331
AFG,35,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.095238095,0.00017855,0,2,0,0,NA,17.4772331
AFG,36,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.095238095,0.01124863,0,2,0,0,NA,17.4772331
AFG,37,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.095238095,-0.003481719,0,2,0,0,NA,17.4772331
AFG,38,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.163265306,-0.000446374,0,2,0,0,NA,17.4772331
AFG,39,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.183673469,-0.014998173,0,2,0,0,NA,17.4772331
AFG,40,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.142857143,0.026871727,0,2,0,0,NA,17.4772331
AFG,41,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.142857143,0.002856795,0,2,0,0,NA,17.4772331
AFG,42,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.142857143,0.016872945,0,2,0,0,NA,17.4772331
AFG,43,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.074829932,0.002678245,0,2,0,0,NA,17.4772331
AFG,44,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.047619048,-0.004374467,0,2,0,0,NA,17.4772331
AFG,45,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.047619048,0.035174287,0,2,0,0,NA,17.4772331
AFG,46,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.047619048,0.041602076,0,2,0,0,NA,17.4772331
AFG,47,0.511,0.212,0.614,18.6,1.337,64.83,0.133977585,-13.16252218,0.047619048,-0.011337905,0,2,0,0,NA,17.4772331
